X,Y,OBJECTID,Name,Type,Scale
1860269.4997,5858486.8483,401,Orokawa Bay,Beach,1000
1860378.3409,5856972.9502,402,Waihi Beach,Beach,1000
1865261.4595,5848569.9745,403,Bowentown,Beach,1000
1867564.2701,5845599.0882,404,North Matakana,Beach,1000
1876933.2109,5832565.1265,405,Matakana Island - Puni's Farm,Beach,1000
1879424.5261,5830678.2133,406,North West Rock,Ledge,1000
1880611.4891,5830417.4791,407,Main Beach,Beach,1000
1881166.4707,5830243.2542,408,Shark Alley,Beach/Reef,1000
1882487.148,5828608.5084,409,Mount Coast,Beach,1000
1885366.1581,5825912.329,410,Arataki,Beach,1000
1889787.6401,5823031.0477,411,Papamoa Beach,Beach,1000
1903683.4863,5831257.2414,412,Motiti Island,Reef,1000
1901181.0321,5816838.5915,413,Kaituna Cut,River Mouth,1000
1904089.8518,5816086.0106,414,Maketu,Beach/Point,1000
1906076.7904,5816615.7326,415,Newdicks,Beach,1000
1906766.4126,5815573.1318,416,Little Waihi,River Mouth,1000
1910314.3456,5812190.6676,417,Pukehina Beach,Beach,1000
1928366.3253,5801345.4324,418,Matata Straights,Beach,1000
1933314.7873,5799894.0296,419,Tarawera Cut,Beach,1000
1937229.125,5798943.3829,420,Walkers Access,Beach,1000
1940871.9603,5797519.2679,421,Thornton Beach,Beach,1000
1946069.9719,5796165.5604,422,Airports/Rangitaiki,Beach,1000
1949380.484,5794386.1089,423,Coastlands,Beach,1000
1952469.1716,5793324.4979,424,Whakatane Heads,River Mouth,1000
1954196.575,5791161.6859,425,Ohope Beach (Westend),Beach,1000
1974579.9226,5786807.2945,426,Opotiki,Beach,1000
1994540.5674,5790914.7314,427,Torere,Reef,1000
1998304.9628,5793563.14,428,Hawai,River Mouth,1000
1999691.4278,5795408.7807,429,Maraenui,Point,1000
2003474.5176,5800541.2216,430,Motu River Mouth,River Mouth,1000
2012503.8957,5810619.2557,431,Hariki Beach,Beach,1000
2037065.7163,5825688.1351,432,Waihau Bay,Beach,1000
